"market","outcome","avgPrice","totalBought","realizedPnl","curPrice"
"Bitcoin Up or Down - December 2, 11:15PM-11:30PM ET","Down",0.2551300046854202,15714.520199,8798.33424,1
"Bitcoin Up or Down - December 8, 2:30AM-2:45AM ET","Down",0.25115519274768605,8323.136134,6142.132909,1
"Bitcoin Up or Down - December 7, 1:15PM-1:30PM ET","Up",0.47733000198886455,9263.521567,4779.450435,1
"Bitcoin Up or Down - December 11, 7:00AM-7:15AM ET","Down",0.486392,8961.181108,4458.534306,1
"Bitcoin Up or Down - December 3, 10:00AM-10:15AM ET","Down",0.1810186206400242,7843.162416,4399.954847,1
"Bitcoin Up or Down - December 8, 9:30AM-9:45AM ET","Up",0.14574909937991046,5187.310448,4331.738783,1
"Bitcoin Up or Down - December 8, 5:15AM-5:30AM ET","Up",0.24139073346047182,5299.979247999999,3984.476384,1
"Bitcoin Up or Down - December 10, 2:00PM-2:15PM ET","Up",0.6126691501334609,15704.648339,3885.408756,1
"Bitcoin Up or Down - December 6, 6:00AM-6:15AM ET","Down",0.3110920116727323,8500.689747,3667.986894,1
"Bitcoin Up or Down - December 3, 7:45PM-8:00PM ET","Up",0.4415569806351195,9926.332319999998,3370.752218,1
"Bitcoin Up or Down - December 9, 10:15AM-10:30AM ET","Up",0.5198716314377689,7303.19,2995.342088,1
"Bitcoin Up or Down - December 6, 5:15AM-5:30AM ET","Down",0.52096696564163,6250.345555,2994.153033,1
"Bitcoin Up or Down - December 4, 2:15PM-2:30PM ET","Up",0.26653150937205117,8285.120458,2989.3390579999996,1
"Bitcoin Up or Down - December 8, 2:45PM-3:00PM ET","Down",0.2860144046786986,7936.405690999999,2978.54749,1
"Bitcoin Up or Down - December 2, 11:30PM-11:45PM ET","Up",0.7068486813731053,11491.662776,2886.334748,1
"Bitcoin Up or Down - December 4, 6:00PM-6:15PM ET","Down",0.7417647897309754,11306.082140999999,2861.718857,1
"Bitcoin Up or Down - December 9, 3:30AM-3:45AM ET","Up",0.3254511915840673,4436.491051,2758.78669,1
"Bitcoin Up or Down - December 4, 5:15PM-5:30PM ET","Down",0.6966636663887552,8637.357638,2620.07334,1
"Bitcoin Up or Down - December 11, 3:30AM-3:45AM ET","Down",0.7053580000000002,8846.851743,2606.654091,1
